id,isim,soyisim,yas,yillik_gelir,satin_alma_miktari
1,Ahmet,Arslan,62,123305,9
2,Emre,Öztürk,65,46032,5
3,Ali,Doğan,18,56138,5
4,Ahmet,Şahin,21,50044,6
5,Hüseyin,Yılmaz,21,80997,19
6,Mehmet,Kaya,57,30052,13
7,Hüseyin,Arslan,27,127025,3
8,Ali,Kaya,37,49232,11
9,Hüseyin,Kaya,39,105232,16
10,Ayşe,Kaya,68,68320,12
11,Ali,Güler,54,144212,14
12,Elif,Güler,41,86425,11
13,Emre,Yılmaz,24,129316,15
14,Emre,Çelik,42,111312,12
15,Selin,Çelik,42,108959,11
16,Ahmet,Demir,30,73128,2
17,Ali,Şahin,19,38663,4
18,Mehmet,Çelik,56,127441,5
19,Selin,Öztürk,57,77176,18
20,Elif,Güler,41,56892,2
21,Ayşe,Çelik,64,70233,5
22,Selin,Güler,42,31820,9
23,Fatma,Çelik,35,143611,4
24,Selin,Şahin,55,52619,4
25,Mehmet,Şahin,43,109766,16
26,Emre,Çelik,31,112228,9
27,Emre,Öztürk,26,100474,18
28,Ali,Öztürk,27,67256,2
29,Hüseyin,Arslan,38,149099,19
30,Emre,Güler,69,132940,4
31,Emre,Çelik,34,44857,14
32,Mehmet,Demir,69,79318,17
33,Fatma,Güler,23,81492,15
34,Elif,Arslan,33,93943,14
35,Ayşe,Çelik,65,149371,4
36,Ali,Güler,18,89936,18
37,Ayşe,Güler,36,20831,13
38,Ahmet,Yılmaz,53,146228,15
39,Ahmet,Doğan,42,70707,14
40,Selin,Doğan,67,100700,6
41,Ali,Demir,69,149908,13
42,Elif,Güler,47,109739,9
43,Elif,Doğan,37,117498,15
44,Ali,Güler,37,70473,17
45,Hüseyin,Demir,32,86601,1
46,Ali,Doğan,57,77094,3
47,Emre,Arslan,50,148609,10
48,Ayşe,Çelik,19,30381,12
49,Elif,Kaya,27,20627,2
50,Ahmet,Öztürk,50,23202,16
51,Elif,Korkmaz,49,98637,10
52,Hüseyin,Güler,28,124904,10
53,Fatma,Güler,41,97341,19
54,Elif,Güler,53,142197,7
